"plant_id","plant_name","operator_name","operator_id","plant_state","aer_fuel_type_code","net_gen_kwh"
"1730","Hancock","DTE Electric Company","5109","MI","NG",4.6020000000000000
"1733","Monroe (MI)","DTE Electric Company","5109","MI","DFO",-0.27500000000000000000
"1733","Monroe (MI)","DTE Electric Company","5109","MI","COL",0E-20
"1740","River Rouge","DTE Electric Company","5109","MI","COL",97.5110000000000000
"1733","Monroe (MI)","DTE Electric Company","5109","MI","DFO",24.5210000000000000
"1733","Monroe (MI)","DTE Electric Company","5109","MI","PC",684.9380000000000000
"1733","Monroe (MI)","DTE Electric Company","5109","MI","COL",12494.609000000000
"1733","Monroe (MI)","DTE Electric Company","5109","MI","COL",0E-20
"1734","Northeast (MI)","DTE Electric Company","5109","MI","DFO",0.74400000000000000000
"1734","Northeast (MI)","DTE Electric Company","5109","MI","NG",1.6900000000000000
"1735","Oliver","DTE Electric Company","5109","MI","DFO",-0.30400000000000000000
"1737","Placid 12","DTE Electric Company","5109","MI","DFO",0.00200000000000000000
"1739","Putnam (MI)","DTE Electric Company","5109","MI","DFO",-0.04300000000000000000
"1740","River Rouge","DTE Electric Company","5109","MI","DFO",-0.18900000000000000000
"1740","River Rouge","DTE Electric Company","5109","MI","OOG",1.3450000000000000
"1740","River Rouge","DTE Electric Company","5109","MI","COL",3.4300000000000000
"1740","River Rouge","DTE Electric Company","5109","MI","NG",52.1010000000000000
"1740","River Rouge","DTE Electric Company","5109","MI","OOG",43.8870000000000000
"1741","Slocum","DTE Electric Company","5109","MI","DFO",0.15500000000000000000
"1743","St Clair","DTE Electric Company","5109","MI","DFO",0E-20
"1743","St Clair","DTE Electric Company","5109","MI","NG",0.83400000000000000000
"1743","St Clair","DTE Electric Company","5109","MI","DFO",-0.01500000000000000000
"1743","St Clair","DTE Electric Company","5109","MI","RFO",0E-20
"1743","St Clair","DTE Electric Company","5109","MI","COL",0E-20
"1743","St Clair","DTE Electric Company","5109","MI","DFO",5.6270000000000000
"1743","St Clair","DTE Electric Company","5109","MI","NG",29.4600000000000000
"1743","St Clair","DTE Electric Company","5109","MI","COL",1601.2620000000000000
"1743","St Clair","DTE Electric Company","5109","MI","RFO",0E-20
"1743","St Clair","DTE Electric Company","5109","MI","COL",0E-20
"1743","St Clair","DTE Electric Company","5109","MI","WOO",2.6590000000000000
"1744","Superior","DTE Electric Company","5109","MI","DFO",0.63600000000000000000
"1745","Trenton Channel","DTE Electric Company","5109","MI","COL",8.7640000000000000
"1745","Trenton Channel","DTE Electric Company","5109","MI","DFO",-3.1960000000000000
"1745","Trenton Channel","DTE Electric Company","5109","MI","NG",0E-20
"1745","Trenton Channel","DTE Electric Company","5109","MI","OTH",0E-20
"1745","Trenton Channel","DTE Electric Company","5109","MI","COL",252.2100000000000000
"1746","Wilmot","DTE Electric Company","5109","MI","DFO",0.14800000000000000000
"1756","Saxon Falls","Northern States Power Co - Minnesota","13781","WI","HYC",12.6220000000000000
"1757","Superior Falls","Northern States Power Co - Minnesota","13781","MI","HYC",12.4290000000000000
